––±Í«©,Paid_employee
001,20739
002,34050
003,7431
011,9297
012,6849
013,30123
015,13500
016,71397
017,22083
018,3690
019,9117
020,3741
021,15195
022,19416
023,55461
024,30123
025,13554
026,2310
027,3390
028,19002
029,2979
030,34476
031,26457
032,5694
033,33144
034,3552
035,10302
036,4809
037,17415
038,6003
039,12483
040,37683
041,6498
042,11901
043,19791
044,24396
045,20181
046,47634
047,102927
048,10314
049,3570
050,4047
051,20832
052,21624
053,20418
054,1716
055,3573
056,5775
057,3975
058,4845
059,25518
060,171777
062,28332
063,14730
064,20274
065,2292
066,2904
067,306
068,8910
069,9585
070,20109
071,55155
072,7323
073,12579
074,5274
075,25374
076,691473
999,18
